payment_id,customer_id,amount,payment_method,failure_reason,retry_attempts,prior_failures,hours_since_failure,customer_txn_frequency_90d,event_timestamp,true_recovery_probability,recovered
P100112,C169,4891.96,CARD,CUSTOMER_ABANDONMENT,0,1,18.4,22,2026-03-16T01:00:00,0.3721,1
P100113,C40,1114.73,UPI,REPEATED_DECLINE,3,0,31.0,16,2026-03-08T09:00:00,0.2649,0
P100114,C121,2993.43,UPI,INSUFFICIENT_FUNDS,2,0,5.5,19,2026-03-09T15:00:00,0.4952,1
P100115,C203,9144.87,NETBANKING,INSUFFICIENT_FUNDS,0,1,11.9,6,2026-02-10T09:00:00,0.2888,0
P100116,C571,201.15,CARD,INSUFFICIENT_FUNDS,3,1,35.7,1,2026-02-20T23:00:00,0.2211,0
P100117,C223,1895.19,CARD,NETWORK_FAILURE,2,1,22.2,8,2026-03-10T05:00:00,0.592,1
P100118,C95,4459.67,UPI,INSUFFICIENT_FUNDS,1,2,0.1,1,2026-01-20T02:00:00,0.3047,0
P100119,C467,2552.72,UPI,CUSTOMER_ABANDONMENT,0,1,2.4,14,2026-02-22T17:00:00,0.2818,0
P100120,C17,930.66,CARD,CUSTOMER_ABANDONMENT,0,0,11.3,19,2026-03-19T10:00:00,0.3461,0
P100121,C147,36673.0,CARD,NETWORK_FAILURE,0,0,84.1,1,2026-03-25T16:00:00,0.4879,1
P100122,C31,250.95,CARD,EXPIRED_PAYMENT_METHOD,0,4,27.7,2,2026-01-30T03:00:00,0.3239,0
P100123,C549,1628.63,EMI,CUSTOMER_ABANDONMENT,3,2,25.4,24,2026-02-22T15:00:00,0.1721,0
P100124,C130,16433.35,NETBANKING,NETWORK_FAILURE,0,1,4.6,24,2026-02-26T23:00:00,0.747,0
P100125,C438,536.29,UPI,NETWORK_FAILURE,1,2,25.5,29,2026-02-01T02:00:00,0.8269,1
P100126,C184,8948.76,CARD,INSUFFICIENT_FUNDS,0,2,12.1,29,2026-03-25T11:00:00,0.512,0
P100127,C595,14680.56,CARD,UNKNOWN,0,1,0.6,28,2026-03-03T05:00:00,0.4591,1
P100128,C202,273.78,UPI,CUSTOMER_ABANDONMENT,2,0,2.6,28,2026-01-30T18:00:00,0.3381,0
P100129,C510,3592.76,CARD,REPEATED_DECLINE,2,1,34.5,3,2026-03-28T17:00:00,0.1171,0
P100130,C558,3161.59,CARD,BANK_TECHNICAL_FAILURE,2,2,10.9,28,2026-02-03T07:00:00,0.8222,1
P100131,C528,1418.53,CARD,INSUFFICIENT_FUNDS,3,1,5.6,15,2026-02-11T17:00:00,0.4852,1
P100132,C376,2908.89,UPI,BANK_TECHNICAL_FAILURE,2,1,6.8,13,2026-01-13T13:00:00,0.9294,1
P100133,C112,7818.11,CARD,REPEATED_DECLINE,0,1,16.7,29,2026-03-20T10:00:00,0.3129,0
P100134,C81,4831.39,UPI,UNKNOWN,1,1,19.6,16,2026-01-28T03:00:00,0.3913,1
P100135,C187,719.77,CARD,BANK_TECHNICAL_FAILURE,3,1,7.8,3,2026-03-24T10:00:00,0.7072,1
P100136,C475,8167.7,EMI,INSUFFICIENT_FUNDS,1,0,6.1,6,2026-03-28T19:00:00,0.3763,0
P100137,C77,563.28,EMI,EXPIRED_PAYMENT_METHOD,2,1,44.9,9,2026-02-19T02:00:00,0.2842,0
P100138,C130,11483.16,UPI,CUSTOMER_ABANDONMENT,3,1,21.4,4,2026-01-09T01:00:00,0.1031,0
P100139,C434,1423.53,UPI,BANK_TECHNICAL_FAILURE,1,0,3.8,9,2026-03-29T19:00:00,0.8682,1
P100140,C398,632.2,CARD,BANK_TECHNICAL_FAILURE,3,0,4.9,5,2026-01-18T13:00:00,0.8156,0
P100141,C157,2952.26,CARD,REPEATED_DECLINE,2,3,7.3,14,2026-01-21T08:00:00,0.3096,0
P100142,C509,2347.37,UPI,INSUFFICIENT_FUNDS,1,1,79.2,5,2026-02-09T03:00:00,0.3237,0
P100143,C541,2212.72,CARD,BANK_TECHNICAL_FAILURE,0,1,14.4,28,2026-02-09T07:00:00,0.6936,1
P100144,C308,1434.99,CARD,NETWORK_FAILURE,1,0,55.3,18,2026-01-05T13:00:00,0.97,1
P100145,C297,1552.25,CARD,EXPIRED_PAYMENT_METHOD,3,2,17.7,6,2026-03-19T01:00:00,0.3273,0
P100146,C261,8597.76,EMI,INSUFFICIENT_FUNDS,2,2,34.5,15,2026-02-11T08:00:00,0.1858,0
P100147,C210,10275.81,UPI,REPEATED_DECLINE,0,1,1.2,3,2026-03-28T01:00:00,0.1987,1
P100148,C237,5539.42,NETBANKING,REPEATED_DECLINE,1,1,7.3,23,2026-02-13T01:00:00,0.2263,0
P100149,C149,2907.49,UPI,REPEATED_DECLINE,1,0,39.9,7,2026-03-12T09:00:00,0.128,0
P100150,C124,1598.91,CARD,INSUFFICIENT_FUNDS,1,0,5.6,10,2026-02-05T06:00:00,0.2014,0
P100151,C105,3448.11,CARD,CUSTOMER_ABANDONMENT,1,1,7.3,16,2026-03-10T16:00:00,0.2928,0
P100152,C377,354.96,EMI,NETWORK_FAILURE,2,3,3.2,21,2026-01-02T10:00:00,0.5092,1
P100153,C295,4189.48,UPI,EXPIRED_PAYMENT_METHOD,1,0,18.1,6,2026-03-13T08:00:00,0.285,0
P100154,C401,2237.27,CARD,CUSTOMER_ABANDONMENT,3,0,23.0,19,2026-03-26T11:00:00,0.1675,0
P100155,C369,4605.75,CARD,BANK_TECHNICAL_FAILURE,1,3,2.8,22,2026-01-16T18:00:00,0.9247,1
P100156,C552,3476.97,UPI,REPEATED_DECLINE,3,0,5.2,10,2026-03-28T19:00:00,0.173,0
P100157,C591,3064.51,UPI,REPEATED_DECLINE,1,2,0.1,17,2026-02-21T09:00:00,0.1029,1
P100158,C126,2519.14,NETBANKING,BANK_TECHNICAL_FAILURE,0,1,19.4,7,2026-01-17T23:00:00,0.6512,1
P100159,C261,632.09,UPI,REPEATED_DECLINE,1,2,20.7,3,2026-03-09T21:00:00,0.2706,0
P100160,C79,2114.15,UPI,INSUFFICIENT_FUNDS,0,3,22.7,4,2026-01-23T22:00:00,0.3463,0
P100161,C308,73546.2,NETBANKING,INSUFFICIENT_FUNDS,1,0,1.6,23,2026-02-27T12:00:00,0.4309,1
P100162,C236,10355.34,NETBANKING,INSUFFICIENT_FUNDS,3,0,49.8,16,2026-01-28T12:00:00,0.2435,0
P100163,C361,4069.91,WALLET,REPEATED_DECLINE,0,2,22.0,2,2026-03-15T20:00:00,0.02,0
P100164,C592,3161.51,UPI,NETWORK_FAILURE,0,2,1.5,23,2026-03-08T06:00:00,0.8291,1
P100165,C478,4570.24,EMI,REPEATED_DECLINE,0,3,19.2,3,2026-03-30T19:00:00,0.0343,0
P100166,C369,4064.93,UPI,INSUFFICIENT_FUNDS,3,2,65.7,7,2026-01-31T07:00:00,0.3491,0
P100167,C560,2189.31,CARD,REPEATED_DECLINE,3,1,2.6,14,2026-02-01T08:00:00,0.1969,1
P100168,C504,7788.18,CARD,REPEATED_DECLINE,1,0,13.3,7,2026-03-09T03:00:00,0.2343,1
P100169,C329,1785.86,CARD,INSUFFICIENT_FUNDS,2,0,89.0,13,2026-03-05T21:00:00,0.3513,0
P100170,C556,24178.0,CARD,NETWORK_FAILURE,2,0,13.8,25,2026-03-15T01:00:00,0.6579,1
P100171,C77,978.53,WALLET,UNKNOWN,0,1,10.5,4,2026-01-09T02:00:00,0.1182,1
P100172,C37,10301.97,CARD,EXPIRED_PAYMENT_METHOD,3,2,13.7,9,2026-02-27T11:00:00,0.3028,0
P100173,C249,8152.55,UPI,BANK_TECHNICAL_FAILURE,1,1,14.5,22,2026-01-23T04:00:00,0.9405,1
P100174,C571,1271.41,CARD,REPEATED_DECLINE,2,1,60.7,19,2026-03-23T21:00:00,0.2175,0
P100175,C149,5953.15,UPI,NETWORK_FAILURE,1,1,12.1,18,2026-03-02T17:00:00,0.7996,1
P100176,C451,2543.48,CARD,INSUFFICIENT_FUNDS,1,2,60.6,14,2026-02-19T02:00:00,0.4358,0
P100177,C324,10213.35,WALLET,CUSTOMER_ABANDONMENT,1,2,0.5,12,2026-02-16T09:00:00,0.0351,0
P100178,C201,11318.25,EMI,CUSTOMER_ABANDONMENT,1,0,13.0,5,2026-01-09T13:00:00,0.1694,0
P100179,C220,388.63,CARD,NETWORK_FAILURE,3,0,25.9,29,2026-01-16T01:00:00,0.8068,1
P100180,C237,1899.58,UPI,INSUFFICIENT_FUNDS,2,3,16.1,11,2026-01-23T12:00:00,0.3936,0
P100181,C450,8315.72,UPI,NETWORK_FAILURE,3,2,22.0,20,2026-03-16T22:00:00,0.8239,1
P100182,C145,1137.15,WALLET,REPEATED_DECLINE,3,0,10.0,19,2026-02-19T06:00:00,0.2063,0
P100183,C345,2242.67,UPI,INSUFFICIENT_FUNDS,2,1,1.6,16,2026-03-18T13:00:00,0.3152,1
P100184,C63,871.19,CARD,INSUFFICIENT_FUNDS,3,0,13.2,26,2026-01-25T18:00:00,0.4638,1
P100185,C553,2476.21,NETBANKING,BANK_TECHNICAL_FAILURE,2,1,22.2,12,2026-01-07T11:00:00,0.8519,0
P100186,C76,2368.62,WALLET,CUSTOMER_ABANDONMENT,0,0,4.4,24,2026-03-01T09:00:00,0.2507,0
P100187,C575,398.92,CARD,CUSTOMER_ABANDONMENT,3,1,3.0,4,2026-02-01T16:00:00,0.1535,1
P100188,C195,3997.44,UPI,REPEATED_DECLINE,1,2,36.8,19,2026-02-24T07:00:00,0.1075,1
P100189,C518,541.25,CARD,BANK_TECHNICAL_FAILURE,0,2,6.3,16,2026-01-02T14:00:00,0.9595,1
P100190,C306,3505.38,EMI,UNKNOWN,0,2,16.0,2,2026-02-25T05:00:00,0.02,0
P100191,C383,2102.71,UPI,BANK_TECHNICAL_FAILURE,2,2,21.9,16,2026-01-29T02:00:00,0.8034,1
P100192,C14,6671.97,CARD,CUSTOMER_ABANDONMENT,1,2,7.9,20,2026-02-04T00:00:00,0.237,0
P100193,C354,733.57,CARD,REPEATED_DECLINE,2,1,1.6,20,2026-03-02T16:00:00,0.1973,1
P100194,C249,3171.79,CARD,INSUFFICIENT_FUNDS,1,3,29.5,8,2026-02-28T13:00:00,0.2631,0
P100195,C413,2212.81,CARD,REPEATED_DECLINE,1,0,5.6,14,2026-01-13T13:00:00,0.2856,0
P100196,C325,2127.35,CARD,NETWORK_FAILURE,2,1,5.5,12,2026-01-02T05:00:00,0.946,1
P100197,C194,1609.22,CARD,CUSTOMER_ABANDONMENT,1,1,19.5,22,2026-02-01T00:00:00,0.2855,1
P100198,C59,5430.88,CARD,NETWORK_FAILURE,3,1,3.3,15,2026-02-26T21:00:00,0.7475,0
P100199,C442,1433.01,UPI,BANK_TECHNICAL_FAILURE,0,2,43.7,3,2026-03-17T20:00:00,0.8601,1
P100200,C91,6152.89,CARD,BANK_TECHNICAL_FAILURE,3,1,38.1,2,2026-01-09T03:00:00,0.7865,0
P100201,C438,1250.15,CARD,CUSTOMER_ABANDONMENT,2,2,28.4,26,2026-02-05T02:00:00,0.2618,0
P100202,C136,6157.54,CARD,INSUFFICIENT_FUNDS,0,0,9.2,14,2026-01-17T07:00:00,0.4205,1
P100203,C304,6161.29,UPI,CUSTOMER_ABANDONMENT,1,2,4.2,2,2026-03-23T00:00:00,0.1402,1
P100204,C339,10666.3,CARD,REPEATED_DECLINE,1,0,17.2,27,2026-03-26T07:00:00,0.1752,0
P100205,C250,606.86,CARD,BANK_TECHNICAL_FAILURE,2,1,12.8,14,2026-02-25T04:00:00,0.8674,0
P100206,C363,2045.98,CARD,INSUFFICIENT_FUNDS,1,0,0.6,11,2026-01-26T03:00:00,0.3671,0
P100207,C251,278.21,CARD,BANK_TECHNICAL_FAILURE,1,0,10.0,9,2026-03-10T02:00:00,0.9018,0
P100208,C27,1781.53,CARD,REPEATED_DECLINE,2,3,14.9,21,2026-03-14T13:00:00,0.2997,0
P100209,C296,16282.43,UPI,BANK_TECHNICAL_FAILURE,0,1,12.5,22,2026-03-13T22:00:00,0.97,1
P100210,C209,3761.32,CARD,BANK_TECHNICAL_FAILURE,0,1,16.5,25,2026-02-08T06:00:00,0.935,1
P100211,C516,6972.95,CARD,CUSTOMER_ABANDONMENT,3,1,23.0,2,2026-01-14T15:00:00,0.3665,0
P100212,C331,9655.74,CARD,UNKNOWN,1,3,2.9,17,2026-01-16T07:00:00,0.3855,0
P100213,C190,2068.57,CARD,NETWORK_FAILURE,1,1,27.0,6,2026-03-15T10:00:00,0.7208,1
P100214,C177,6665.11,CARD,UNKNOWN,1,1,17.5,4,2026-02-22T21:00:00,0.3542,0
P100215,C283,1055.37,EMI,CUSTOMER_ABANDONMENT,0,3,4.8,17,2026-03-25T16:00:00,0.1809,0
P100216,C196,911.11,CARD,INSUFFICIENT_FUNDS,1,1,24.1,18,2026-01-07T01:00:00,0.4982,0
P100217,C62,3857.88,CARD,UNKNOWN,1,2,8.6,28,2026-02-03T03:00:00,0.4239,1
P100218,C501,993.21,CARD,INSUFFICIENT_FUNDS,0,0,8.1,9,2026-02-26T10:00:00,0.3828,1
P100219,C415,2453.95,CARD,NETWORK_FAILURE,2,4,18.9,29,2026-03-04T20:00:00,0.8384,1
P100220,C12,1149.34,CARD,REPEATED_DECLINE,0,3,7.9,13,2026-03-09T21:00:00,0.2265,0
P100221,C27,3519.29,CARD,EXPIRED_PAYMENT_METHOD,0,1,20.6,27,2026-01-31T12:00:00,0.6566,1
P100222,C415,2855.47,UPI,INSUFFICIENT_FUNDS,0,0,21.8,5,2026-03-05T17:00:00,0.2885,0
P100223,C364,1506.33,UPI,BANK_TECHNICAL_FAILURE,1,0,43.7,29,2026-03-27T09:00:00,0.9132,1
P100224,C144,9294.38,CARD,CUSTOMER_ABANDONMENT,1,1,64.1,18,2026-03-31T13:00:00,0.2872,0
P100225,C2,5041.06,CARD,BANK_TECHNICAL_FAILURE,0,3,2.1,1,2026-02-06T07:00:00,0.8627,1
P100226,C239,730.77,CARD,NETWORK_FAILURE,3,1,7.6,10,2026-03-16T09:00:00,0.7122,1
P100227,C58,6420.41,CARD,NETWORK_FAILURE,2,0,3.6,21,2026-01-07T05:00:00,0.9362,1
P100228,C5,8271.05,NETBANKING,EXPIRED_PAYMENT_METHOD,2,0,0.4,26,2026-01-06T01:00:00,0.3188,1
